,PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,Start_Datetime,End_Datetime,Date_completeness
137,138,10/31/2023,A6,Evening (3-5pm),SUC,16:40,16:50,Sunny,Dry,Slight Wind,75,https://ebird.org/checklist/S171196161,[illegible],-,2023-10-31 16:40:00,2023-10-31 16:50:00,1.0
138,139,11/1/2023,A1,Morning (7-9am),LSW,7:17,7:27,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153523646,,-,2023-11-01 07:17:00,2023-11-01 07:27:00,0.6666666666666666
139,140,11/1/2023,A2,Morning (7-9am),LSW,7:31,7:41,Sunny,Dry,Calm,51,https://ebird.org/checklist/S153524430,,-,2023-11-01 07:31:00,2023-11-01 07:41:00,0.6666666666666666
140,141,11/1/2023,A3,Morning (7-9am),LSW,7:54,8:04,Sunny,Dry,Calm,51,https://ebird.org/checklist/S153525696,,-,2023-11-01 07:54:00,2023-11-01 08:04:00,0.6666666666666666
141,142,11/1/2023,A4,Morning (7-9am),LSW,8:08,8:18,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153526644,,-,2023-11-01 08:08:00,2023-11-01 08:18:00,0.6666666666666666
142,143,11/1/2023,A5,Morning (7-9am),LSW,8:21,8:31,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153527350,,-,2023-11-01 08:21:00,2023-11-01 08:31:00,0.6666666666666666
143,144,11/1/2023,A6,Morning (7-9am),LSW,8:32,8:42,Sunny,Dry,Calm,52,https://ebird.org/checklist/S153528165,,-,2023-11-01 08:32:00,2023-11-01 08:42:00,0.6666666666666666
150,151,11/1/2023,A6,Evening (3-5pm),SRG,15:48,15:58,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153554004,,-,2023-11-01 15:48:00,2023-11-01 15:58:00,0.6666666666666666
151,152,11/1/2023,A5,Evening (3-5pm),SRG,16:00,16:10,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153554548,,-,2023-11-01 16:00:00,2023-11-01 16:10:00,0.6666666666666666
152,153,11/1/2023,A4,Evening (3-5pm),SRG,16:12,16:22,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153555096,,-,2023-11-01 16:12:00,2023-11-01 16:22:00,0.6666666666666666
153,154,11/1/2023,A3,Evening (3-5pm),SRG,16:23,16:33,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153555580,,-,2023-11-01 16:23:00,2023-11-01 16:33:00,0.6666666666666666
154,155,11/1/2023,A2,Evening (3-5pm),SRG,16:39,16:49,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153556325,,-,2023-11-01 16:39:00,2023-11-01 16:49:00,0.6666666666666666
155,156,11/1/2023,A1,Evening (3-5pm),SRG,16:53,17:03,Partial Cloudy,Dry,Calm,73,https://ebird.org/checklist/S153556929,,-,2023-11-01 16:53:00,2023-11-01 17:03:00,0.6666666666666666
156,157,11/5/2023,B1,Morning (7-9am),SRG,7:51,8:01,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153809319,,-,2023-11-05 07:51:00,2023-11-05 08:01:00,1.0
157,158,11/5/2023,B2,Morning (7-9am),SRG,8:04,8:14,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153810987,,-,2023-11-05 08:04:00,2023-11-05 08:14:00,1.0
158,159,11/5/2023,B3,Morning (7-9am),SRG,8:18,9:28,Cloudy,Dry,Calm,59,https://ebird.org/checklist/S153812244,,-,2023-11-05 08:18:00,2023-11-05 09:28:00,1.0
159,160,11/5/2023,B4,Morning (7-9am),SRG,8:32,8:42,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S153813930,,-,2023-11-05 08:32:00,2023-11-05 08:42:00,1.0
160,161,11/5/2023,B5,Morning (7-9am),SRG,8:46,8:56,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S153815359,Whirring from Weil,-,2023-11-05 08:46:00,2023-11-05 08:56:00,1.0
161,162,11/5/2023,B6,Morning (7-9am),SRG,9:00,9:11,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S153816909,,-,2023-11-05 09:00:00,2023-11-05 09:11:00,1.0
162,163,11/5/2023,C1,Mid-day (11am-1pm),SRG,11:30,11:40,Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S153832186,,-,2023-11-05 11:30:00,2023-11-05 11:40:00,1.0
163,164,11/5/2023,C2,Mid-day (11am-1pm),SRG,11:42,11:52,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153833143,,-,2023-11-05 11:42:00,2023-11-05 11:52:00,1.0
164,165,11/5/2023,C3,Mid-day (11am-1pm),SRG,11:54,12:04,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153834259,,-,2023-11-05 11:54:00,2023-11-05 12:04:00,1.0
165,166,11/5/2023,C4,Mid-day (11am-1pm),SRG,12:06,12:16,Cloudy,Dry,Windy,67,https://ebird.org/checklist/S153835543,,-,2023-11-05 12:06:00,2023-11-05 12:16:00,1.0
166,167,11/5/2023,C5,Mid-day (11am-1pm),SRG,12:18,12:28,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153836653,A bunch of trees were cut since I was last here.,-,2023-11-05 12:18:00,2023-11-05 12:28:00,1.0
167,168,11/5/2023,C6,Mid-day (11am-1pm),SRG,12:34,12:44,Cloudy,Dry,Slight Wind,67,https://ebird.org/checklist/S153838117,,-,2023-11-05 12:34:00,2023-11-05 12:44:00,1.0
168,169,11/5/2023,A6,Evening (3-5pm),SRG,15:16,15:26,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153852546,,-,2023-11-05 15:16:00,2023-11-05 15:26:00,1.0
169,170,11/5/2023,A5,Evening (3-5pm),SRG,15:28,15:38,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153853479,,-,2023-11-05 15:28:00,2023-11-05 15:38:00,1.0
170,171,11/5/2023,A4,Evening (3-5pm),SRG,15:40,15:50,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153854182,,-,2023-11-05 15:40:00,2023-11-05 15:50:00,1.0
171,172,11/5/2023,A3,Evening (3-5pm),SRG,15:52,16:02,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153854899,,-,2023-11-05 15:52:00,2023-11-05 16:02:00,1.0
172,173,11/5/2023,A2,Evening (3-5pm),SRG,16:08,16:18,Cloudy,Dry,Slight Wind,66,https://ebird.org/checklist/S153855961,,-,2023-11-05 16:08:00,2023-11-05 16:18:00,1.0
173,174,11/5/2023,A1,Evening (3-5pm),SRG,16:22,16:32,Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S153856660,,-,2023-11-05 16:22:00,2023-11-05 16:32:00,1.0
174,175,11/8/2023,B1,Morning (7-9am),SRG,7:48,7:58,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154013513,,-,2023-11-08 07:48:00,2023-11-08 07:58:00,1.0
175,176,11/8/2023,B2,Morning (7-9am),SRG,8:02,8:12,Sunny,Dry,Calm,53,https://ebird.org/checklist/S154014157,,-,2023-11-08 08:02:00,2023-11-08 08:12:00,1.0
176,177,11/8/2023,B3,Morning (7-9am),SRG,8:13,8:23,Sunny,Dry,Calm,53,https://ebird.org/checklist/S154014890,construction,-,2023-11-08 08:13:00,2023-11-08 08:23:00,1.0
177,178,11/8/2023,B4,Morning (7-9am),SRG,8:26,8:36,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154015725,,-,2023-11-08 08:26:00,2023-11-08 08:36:00,1.0
178,179,11/8/2023,B5,Morning (7-9am),SRG,8:39,8:49,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154016502,,-,2023-11-08 08:39:00,2023-11-08 08:49:00,1.0
179,180,11/8/2023,B6,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,56,https://ebird.org/checklist/S154017316,,-,2023-11-08 08:50:00,2023-11-08 09:00:00,1.0
180,181,11/8/2023,B1,Mid-day (11am-1pm),LSW,11:00,11:10,Sunny,Dry,Calm,62,https://ebird.org/checklist/S154024430,jackhammering from Evans + trucks by Memorial Pool,-,2023-11-08 11:00:00,2023-11-08 11:10:00,1.0
181,182,11/8/2023,B2,Mid-day (11am-1pm),LSW,11:12,11:22,Sunny,Dry,Calm,62,https://ebird.org/checklist/S154025120,,-,2023-11-08 11:12:00,2023-11-08 11:22:00,1.0
182,183,11/8/2023,B3,Mid-day (11am-1pm),LSW,11:27,11:37,Sunny,Dry,Slight Wind,63,https://ebird.org/checklist/S154025876,"construction in Dwinelle parking lot, loud beeping?",-,2023-11-08 11:27:00,2023-11-08 11:37:00,1.0
183,184,11/8/2023,B4,Mid-day (11am-1pm),LSW,11:40,11:50,Sunny,Dry,Slight Wind,64,https://ebird.org/checklist/S154026703,"construction blocked exact B4 point, stood on the other side of the path by the creek",-,2023-11-08 11:40:00,2023-11-08 11:50:00,1.0
184,185,11/8/2023,B5,Mid-day (11am-1pm),LSW,11:53,12:03,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154027503,,-,2023-11-08 11:53:00,2023-11-08 12:03:00,1.0
185,186,11/8/2023,B6,Mid-day (11am-1pm),LSW,12:06,12:16,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S154028217,,-,2023-11-08 12:06:00,2023-11-08 12:16:00,1.0
186,187,11/8/2023,C6,Evening (3-5pm),SRG,15:22,15:32,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154038705,,-,2023-11-08 15:22:00,2023-11-08 15:32:00,1.0
187,188,11/8/2023,C5,Evening (3-5pm),SRG,15:35,15:45,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154039286,,-,2023-11-08 15:35:00,2023-11-08 15:45:00,1.0
188,189,11/8/2023,C4,Evening (3-5pm),SRG,15:48,15:58,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154039888,,-,2023-11-08 15:48:00,2023-11-08 15:58:00,1.0
189,190,11/8/2023,C3,Evening (3-5pm),SRG,16:01,16:11,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154040395,,-,2023-11-08 16:01:00,2023-11-08 16:11:00,1.0
190,191,11/8/2023,C2,Evening (3-5pm),SRG,16:14,16:24,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154040919,,-,2023-11-08 16:14:00,2023-11-08 16:24:00,1.0
191,192,11/8/2023,C1,Evening (3-5pm),SRG,16:25,16:35,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154041381,,-,2023-11-08 16:25:00,2023-11-08 16:35:00,1.0
195,196,11/11/2023,B4,Morning (7-9am),"SRG, SUC, JOL",8:29,8:39,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154213984,,-,2023-11-11 08:29:00,2023-11-11 08:39:00,0.5555555555555556
198,199,11/11/2023,C1,Mid-day (11am-1pm),JAL,12:08,12:18,Sunny,Dry,Slight Wind,67,https://ebird.org/checklist/S154236833,"Football Game today,  a lot of traffics, campinile & cal band marching",-,2023-11-11 12:08:00,2023-11-11 12:18:00,0.5555555555555556
199,200,11/11/2023,C2,Mid-day (11am-1pm),JAL,12:22,12:32,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154238190,Same as C1,-,2023-11-11 12:22:00,2023-11-11 12:32:00,0.5555555555555556
200,201,11/11/2023,C3,Mid-day (11am-1pm),JAL,12:34,12:44,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154239398,"Less traffoc & more quiet, but still more than usual weekends",-,2023-11-11 12:34:00,2023-11-11 12:44:00,0.5555555555555556
201,202,11/11/2023,C4,Mid-day (11am-1pm),JAL,12:49,12:59,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S154240740,Same as C3,-,2023-11-11 12:49:00,2023-11-11 12:59:00,0.5555555555555556
202,203,11/11/2023,C5,Mid-day (11am-1pm),JAL,13:03,13:13,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154242115,,-,2023-11-11 13:03:00,2023-11-11 13:13:00,0.5555555555555556
203,204,11/11/2023,C6,Mid-day (11am-1pm),JAL,13:19,13:29,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154243493,,-,2023-11-11 13:19:00,2023-11-11 13:29:00,0.5555555555555556
204,205,11/11/2023,C1,Evening (3-5pm),"SRG, SUC",15:12,15:22,Sunny,Dry,Calm,69,https://ebird.org/checklist/S154252283,,-,2023-11-11 15:12:00,2023-11-11 15:22:00,0.5555555555555556
208,209,11/11/2023,C5,Evening (3-5pm),"SRG, SUC",16:06,16:16,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154255365,Much anthropogenic noise,-,2023-11-11 16:06:00,2023-11-11 16:16:00,0.5555555555555556
209,210,11/11/2023,C6,Evening (3-5pm),"SRG, SUC",16:25,16:35,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154256408,,-,2023-11-11 16:25:00,2023-11-11 16:35:00,0.5555555555555556
210,211,11/15/2023,B1,Morning (7-9am),SRG,7:52,8:02,Cloudy,Dry,Calm,55,https://ebird.org/checklist/S154501996,,-,2023-11-15 07:52:00,2023-11-15 08:02:00,1.0
211,212,11/15/2023,B2,Morning (7-9am),SRG,8:05,8:15,Cloudy,Dry,Calm,55,https://ebird.org/checklist/S154502815,,-,2023-11-15 08:05:00,2023-11-15 08:15:00,1.0
212,213,11/15/2023,B3,Morning (7-9am),SRG,8:18,8:28,Cloudy,Dry,Calm,56,https://ebird.org/checklist/S154503662,,-,2023-11-15 08:18:00,2023-11-15 08:28:00,1.0
213,214,11/15/2023,B4,Morning (7-9am),SRG,8:30,8:40,Cloudy,Dry,Calm,57,https://ebird.org/checklist/S154504441,,-,2023-11-15 08:30:00,2023-11-15 08:40:00,1.0
214,215,11/15/2023,B5,Morning (7-9am),SRG,8:43,8:53,Cloudy,Dry,Calm,57,https://ebird.org/checklist/S154505410,,-,2023-11-15 08:43:00,2023-11-15 08:53:00,1.0
215,216,11/15/2023,B6,Morning (7-9am),SRG,8:54,9:04,Cloudy,Dry,Calm,58,https://ebird.org/checklist/S154506210,Vegetation around the stream has been cut.,-,2023-11-15 08:54:00,2023-11-15 09:04:00,1.0
216,217,11/15/2023,A1,Mid-day (11am-1pm),LSW,11:02,11:12,Cloudy,Dry,Slight Wind,60,https://ebird.org/checklist/S154514313,,-,2023-11-15 11:02:00,2023-11-15 11:12:00,1.0
217,218,11/15/2023,A2,Mid-day (11am-1pm),LSW,11:15,11:25,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154515156,,-,2023-11-15 11:15:00,2023-11-15 11:25:00,1.0
218,219,11/15/2023,A3,Mid-day (11am-1pm),LSW,11:32,11:42,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154516369,loud construction,-,2023-11-15 11:32:00,2023-11-15 11:42:00,1.0
219,220,11/15/2023,A4,Mid-day (11am-1pm),LSW,11:44,11:54,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154517043,,-,2023-11-15 11:44:00,2023-11-15 11:54:00,1.0
220,221,11/15/2023,A5,Mid-day (11am-1pm),LSW,11:56,12:06,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154517704,,-,2023-11-15 11:56:00,2023-11-15 12:06:00,1.0
221,222,11/15/2023,A6,Mid-day (11am-1pm),LSW,12:09,12:19,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154518709,,-,2023-11-15 12:09:00,2023-11-15 12:19:00,1.0
222,223,11/15/2023,A1,Evening (3-5pm),JOL,15:02,15:12,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154529187,,-,2023-11-15 15:02:00,2023-11-15 15:12:00,1.0
223,224,11/15/2023,A2,Evening (3-5pm),JOL,15:15,15:25,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154529637,,-,2023-11-15 15:15:00,2023-11-15 15:25:00,1.0
224,225,11/15/2023,A3,Evening (3-5pm),JOL,15:27,15:37,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154530240,,-,2023-11-15 15:27:00,2023-11-15 15:37:00,1.0
225,226,11/15/2023,A4,Evening (3-5pm),JOL,15:40,15:50,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154530766,,-,2023-11-15 15:40:00,2023-11-15 15:50:00,1.0
226,227,11/15/2023,A5,Evening (3-5pm),JOL,15:53,16:03,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154531223,,-,2023-11-15 15:53:00,2023-11-15 16:03:00,1.0
227,228,11/15/2023,A6,Evening (3-5pm),JOL,16:04,16:14,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154531658,,-,2023-11-15 16:04:00,2023-11-15 16:14:00,1.0
228,229,11/18/2023,C1,Morning (7-9am),JOL,9:12,9:22,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154692537,,-,2023-11-18 09:12:00,2023-11-18 09:22:00,0.3333333333333333
229,230,11/18/2023,C2,Morning (7-9am),JOL,9:00,9:10,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154691471,,-,2023-11-18 09:00:00,2023-11-18 09:10:00,0.3333333333333333
230,231,11/18/2023,C3,Morning (7-9am),JOL,8:46,8:56,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154690191,,-,2023-11-18 08:46:00,2023-11-18 08:56:00,0.3333333333333333
231,232,11/18/2023,C4,Morning (7-9am),JOL,8:33,8:44,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154689052,,-,2023-11-18 08:33:00,2023-11-18 08:44:00,0.3333333333333333
232,233,11/18/2023,C5,Morning (7-9am),JOL,8:21,8:31,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154687952,,-,2023-11-18 08:21:00,2023-11-18 08:31:00,0.3333333333333333
233,234,11/18/2023,C6,Morning (7-9am),JOL,8:07,8:17,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154686684,,-,2023-11-18 08:07:00,2023-11-18 08:17:00,0.3333333333333333
234,235,11/19/2023,A1,Morning (7-9am),SRG,7:42,7:52,Sunny,Dry,Calm,47,https://ebird.org/checklist/S154765847,,-,2023-11-19 07:42:00,2023-11-19 07:52:00,1.0
235,236,11/19/2023,A2,Morning (7-9am),SRG,7:55,8:05,Sunny,Dry,Calm,49,https://ebird.org/checklist/S154767186,,-,2023-11-19 07:55:00,2023-11-19 08:05:00,1.0
236,237,11/19/2023,A3,Morning (7-9am),SRG,8:12,8:22,Sunny,Dry,Calm,50,https://ebird.org/checklist/S154768940,,-,2023-11-19 08:12:00,2023-11-19 08:22:00,1.0
237,238,11/19/2023,A4,Morning (7-9am),SRG,8:24,8:34,Sunny,Dry,Calm,50,https://ebird.org/checklist/S154770157,Speaker playing loud music,-,2023-11-19 08:24:00,2023-11-19 08:34:00,1.0
238,239,11/19/2023,A5,Morning (7-9am),SRG,8:37,8:47,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154771408,Speaker playing loud music,-,2023-11-19 08:37:00,2023-11-19 08:47:00,1.0
239,240,11/19/2023,A6,Morning (7-9am),SRG,8:49,8:59,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154772547,,-,2023-11-19 08:49:00,2023-11-19 08:59:00,1.0
240,241,11/19/2023,C6,Mid-day (11am-1pm),SRG,11:10,11:20,Sunny,Dry,Windy,56,https://ebird.org/checklist/S154787090,,-,2023-11-19 11:10:00,2023-11-19 11:20:00,1.0
241,242,11/19/2023,C5,Mid-day (11am-1pm),SRG,11:25,11:35,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154788346,Machinery operating,-,2023-11-19 11:25:00,2023-11-19 11:35:00,1.0
242,243,11/19/2023,C4,Mid-day (11am-1pm),SRG,11:37,11:47,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154789380,,-,2023-11-19 11:37:00,2023-11-19 11:47:00,1.0
243,244,11/19/2023,C3,Mid-day (11am-1pm),SRG,11:51,12:01,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154790662,,-,2023-11-19 11:51:00,2023-11-19 12:01:00,1.0
244,245,11/19/2023,C2,Mid-day (11am-1pm),SRG,12:04,12:14,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154791772,,-,2023-11-19 12:04:00,2023-11-19 12:14:00,1.0
245,246,11/19/2023,C1,Mid-day (11am-1pm),SRG,12:16,12:26,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154792755,,-,2023-11-19 12:16:00,2023-11-19 12:26:00,1.0
246,247,11/19/2023,C1,Evening (3-5pm),LSW,15:05,15:15,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154810816,,-,2023-11-19 15:05:00,2023-11-19 15:15:00,1.0
247,248,11/19/2023,C2,Evening (3-5pm),LSW,15:17,15:27,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154811560,,-,2023-11-19 15:17:00,2023-11-19 15:27:00,1.0
248,249,11/19/2023,C3,Evening (3-5pm),LSW,15:32,15:42,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154812509,,-,2023-11-19 15:32:00,2023-11-19 15:42:00,1.0
249,250,11/19/2023,C4,Evening (3-5pm),LSW,15:45,15:55,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154813716,,-,2023-11-19 15:45:00,2023-11-19 15:55:00,1.0
250,251,11/19/2023,C5,Evening (3-5pm),LSW,15:59,16:09,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154814384,"actual PC location obstructed by loud construction, stood outside Durham Studio Theater",-,2023-11-19 15:59:00,2023-11-19 16:09:00,1.0
251,252,11/19/2023,C6,Evening (3-5pm),LSW,16:19,16:29,Sunny,Dry,Calm,59,https://ebird.org/checklist/S154815547,"path between C5 and C6 obstructed, walked further down to the west side of VLSB and back up",-,2023-11-19 16:19:00,2023-11-19 16:29:00,1.0
252,253,11/21/2023,B1,Morning (7-9am),SRG,8:03,8:13,Cloudy,Dry,Calm,50,https://ebird.org/checklist/S154909587,,-,2023-11-21 08:03:00,2023-11-21 08:13:00,0.9444444444444444
253,254,11/21/2023,B2,Morning (7-9am),SRG,8:15,8:25,Cloudy,Dry,Calm,51,https://ebird.org/checklist/S154910295,,-,2023-11-21 08:15:00,2023-11-21 08:25:00,0.9444444444444444
254,255,11/21/2023,B3,Morning (7-9am),SRG,8:28,8:38,Cloudy,Dry,Calm,53,https://ebird.org/checklist/S154911004,construction,-,2023-11-21 08:28:00,2023-11-21 08:38:00,0.9444444444444444
255,256,11/21/2023,B4,Morning (7-9am),SRG,8:40,8:50,Cloudy,Dry,Calm,53,https://ebird.org/checklist/S154911752,construction,-,2023-11-21 08:40:00,2023-11-21 08:50:00,0.9444444444444444
256,257,11/21/2023,B5,Morning (7-9am),SRG,8:53,9:03,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S154912618,,-,2023-11-21 08:53:00,2023-11-21 09:03:00,0.9444444444444444
257,258,11/21/2023,B6,Morning (7-9am),SRG,9:05,9:15,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S154913352,,-,2023-11-21 09:05:00,2023-11-21 09:15:00,0.9444444444444444
258,259,11/21/2023,B1,Mid-day (11am-1pm),LSW,11:02,11:12,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154920229,,-,2023-11-21 11:02:00,2023-11-21 11:12:00,0.9444444444444444
259,260,11/21/2023,B2,Mid-day (11am-1pm),LSW,11:17,11:27,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154922672,loud landscaping/jackhammering,-,2023-11-21 11:17:00,2023-11-21 11:27:00,0.9444444444444444
260,261,11/21/2023,B3,Mid-day (11am-1pm),LSW,11:30,11:40,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154925021,loud landscaping/jackhammering,-,2023-11-21 11:30:00,2023-11-21 11:40:00,0.9444444444444444
261,262,11/21/2023,B4,Mid-day (11am-1pm),LSW,11:42,11:52,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S154926896,"loud construction, PC point blocked so I stood by Strawberry Creek as close as possible",-,2023-11-21 11:42:00,2023-11-21 11:52:00,0.9444444444444444
262,263,11/21/2023,B5,Mid-day (11am-1pm),LSW,11:57,12:07,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S154927677,,-,2023-11-21 11:57:00,2023-11-21 12:07:00,0.9444444444444444
263,264,11/21/2023,B6,Mid-day (11am-1pm),LSW,12:09,12:19,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154928403,,-,2023-11-21 12:09:00,2023-11-21 12:19:00,0.9444444444444444
264,265,11/21/2023,A1,Evening (3-5pm),SRG,16:04,16:14,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S154940403,,-,2023-11-21 16:04:00,2023-11-21 16:14:00,0.9444444444444444
265,266,11/21/2023,A2,Evening (3-5pm),SRG,16:18,16:28,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154940867,,-,2023-11-21 16:18:00,2023-11-21 16:28:00,0.9444444444444444
266,267,11/21/2023,A3,Evening (3-5pm),SRG,16:34,16:44,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154941558,,-,2023-11-21 16:34:00,2023-11-21 16:44:00,0.9444444444444444
267,268,11/21/2023,A4,Evening (3-5pm),SRG,16:46,16:56,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154942010,,-,2023-11-21 16:46:00,2023-11-21 16:56:00,0.9444444444444444
268,269,11/21/2023,A5,Evening (3-5pm),SRG,16:59,17:09,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154942434,Got too dark to do A6,-,2023-11-21 16:59:00,2023-11-21 17:09:00,0.9444444444444444
269,270,12/3/2023,C1,Morning (7-9am),LSW,7:31,7:41,Cloudy,Drizzle,Calm,53,https://ebird.org/checklist/S155663845,,-,2023-12-03 07:31:00,2023-12-03 07:41:00,1.0
270,271,12/3/2023,C2,Morning (7-9am),LSW,7:43,7:53,Cloudy,Drizzle,Calm,54,https://ebird.org/checklist/S155664717,,-,2023-12-03 07:43:00,2023-12-03 07:53:00,1.0
271,272,12/3/2023,C3,Morning (7-9am),LSW,7:57,8:07,Cloudy,Drizzle,Calm,54,https://ebird.org/checklist/S155665867,,-,2023-12-03 07:57:00,2023-12-03 08:07:00,1.0
272,273,12/3/2023,C4,Morning (7-9am),LSW,8:10,8:20,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155666933,,-,2023-12-03 08:10:00,2023-12-03 08:20:00,1.0
273,274,12/3/2023,C5,Morning (7-9am),LSW,8:24,8:34,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155668065,"C5 point blocked, stood by LOOP bench around southeast corner of VLSB",-,2023-12-03 08:24:00,2023-12-03 08:34:00,1.0
274,275,12/3/2023,C6,Morning (7-9am),LSW,8:36,8:46,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155669229,,-,2023-12-03 08:36:00,2023-12-03 08:46:00,1.0
275,276,12/3/2023,C1,Mid-day (11am-1pm),SRG,11:33,11:43,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155683199,,-,2023-12-03 11:33:00,2023-12-03 11:43:00,1.0
276,277,12/3/2023,C2,Mid-day (11am-1pm),SRG,11:44,11:54,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155684030,,-,2023-12-03 11:44:00,2023-12-03 11:54:00,1.0
277,278,12/3/2023,C3,Mid-day (11am-1pm),SRG,11:56,12:06,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155685022,,-,2023-12-03 11:56:00,2023-12-03 12:06:00,1.0
278,279,12/3/2023,C4,Mid-day (11am-1pm),SRG,12:08,12:18,Cloudy,Dry,Slight Wind,60,https://ebird.org/checklist/S155686193,A lot of people.,-,2023-12-03 12:08:00,2023-12-03 12:18:00,1.0
