PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,,,
174,11/5/2023,A1,Evening (3-5pm),SRG,16:22,16:32,Cloudy,Dry,Slight Wind,65,https://ebird.org/checklist/S153856660,,-,,,
175,11/8/2023,B1,Morning (7-9am),SRG,7:48,7:58,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154013513,,-,,,
176,11/8/2023,B2,Morning (7-9am),SRG,8:02,8:12,Sunny,Dry,Calm,53,https://ebird.org/checklist/S154014157,,-,,,
177,11/8/2023,B3,Morning (7-9am),SRG,8:13,8:23,Sunny,Dry,Calm,53,https://ebird.org/checklist/S154014890,construction,-,,,
178,11/8/2023,B4,Morning (7-9am),SRG,8:26,8:36,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154015725,,-,,,
179,11/8/2023,B5,Morning (7-9am),SRG,8:39,8:49,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154016502,,-,,,
180,11/8/2023,B6,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,56,https://ebird.org/checklist/S154017316,,-,,,
181,11/8/2023,B1,Mid-day (11am-1pm),LSW,11:00,11:10,Sunny,Dry,Calm,62,https://ebird.org/checklist/S154024430,jackhammering from Evans + trucks by Memorial Pool,-,,,
182,11/8/2023,B2,Mid-day (11am-1pm),LSW,11:12,11:22,Sunny,Dry,Calm,62,https://ebird.org/checklist/S154025120,,-,,,
183,11/8/2023,B3,Mid-day (11am-1pm),LSW,11:27,11:37,Sunny,Dry,Slight Wind,63,https://ebird.org/checklist/S154025876,"construction in Dwinelle parking lot, loud beeping?",-,,,
184,11/8/2023,B4,Mid-day (11am-1pm),LSW,11:40,11:50,Sunny,Dry,Slight Wind,64,https://ebird.org/checklist/S154026703,"construction blocked exact B4 point, stood on the other side of the path by the creek",-,,,
185,11/8/2023,B5,Mid-day (11am-1pm),LSW,11:53,12:03,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154027503,,-,,,
186,11/8/2023,B6,Mid-day (11am-1pm),LSW,12:06,12:16,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S154028217,,-,,,
187,11/8/2023,C6,Evening (3-5pm),SRG,15:22,15:32,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154038705,,-,,,
188,11/8/2023,C5,Evening (3-5pm),SRG,15:35,15:45,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154039286,,-,,,
189,11/8/2023,C4,Evening (3-5pm),SRG,15:48,15:58,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154039888,,-,,,
190,11/8/2023,C3,Evening (3-5pm),SRG,16:01,16:11,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154040395,,-,,,
191,11/8/2023,C2,Evening (3-5pm),SRG,16:14,16:24,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154040919,,-,,,
192,11/8/2023,C1,Evening (3-5pm),SRG,16:25,16:35,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154041381,,-,,,
193,11/11/2023,B1,Morning (7-9am),"SRG, SUC, JOL",7:45,7:55,Sunny,Dry,Calm,,https://ebird.org/checklist/S154209748,,missing data?,,,
194,11/11/2023,B2,Morning (7-9am),"SRG, SUC, JOL",7:58,8:08,Sunny,Dry,Calm,,https://ebird.org/checklist/S154210861,,missing data?,,,
195,11/11/2023,B3,Morning (7-9am),"SRG, SUC, JOL",8:14,8:24,Sunny,Dry,Calm,,https://ebird.org/checklist/S154212337,,missing data?,,,
196,11/11/2023,B4,Morning (7-9am),"SRG, SUC, JOL",8:29,8:39,Sunny,Dry,Calm,54,https://ebird.org/checklist/S154213984,,-,,,
197,11/11/2023,B5,Morning (7-9am),"SRG, SUC, JOL",8:42,8:52,Sunny,Dry,Calm,,https://ebird.org/checklist/S154216730,,missing data?,,,
198,11/11/2023,B6,Morning (7-9am),"SRG, SUC, JOL",8:54,9:04,Sunny,Dry,Calm,,https://ebird.org/checklist/S154218953,,missing data?,,,
199,11/11/2023,C1,Mid-day (11am-1pm),JAL,12:08,12:18,Sunny,Dry,Slight Wind,67,https://ebird.org/checklist/S154236833,"Football Game today,  a lot of traffics, campinile & cal band marching",-,,,
200,11/11/2023,C2,Mid-day (11am-1pm),JAL,12:22,12:32,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154238190,Same as C1,-,,,
201,11/11/2023,C3,Mid-day (11am-1pm),JAL,12:34,12:44,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154239398,"Less traffoc & more quiet, but still more than usual weekends",-,,,
202,11/11/2023,C4,Mid-day (11am-1pm),JAL,12:49,12:59,Sunny,Dry,Slight Wind,65,https://ebird.org/checklist/S154240740,Same as C3,-,,,
203,11/11/2023,C5,Mid-day (11am-1pm),JAL,13:03,13:13,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154242115,,-,,,
204,11/11/2023,C6,Mid-day (11am-1pm),JAL,13:19,13:29,Sunny,Dry,Calm,65,https://ebird.org/checklist/S154243493,,-,,,
205,11/11/2023,C1,Evening (3-5pm),"SRG, SUC",15:12,15:22,Sunny,Dry,Calm,69,https://ebird.org/checklist/S154252283,,-,,,
206,11/11/2023,C2,Evening (3-5pm),"SRG, SUC",15:24,15:34,Sunny,Dry,Calm,,https://ebird.org/checklist/S154253257,,missing data?,,,
207,11/11/2023,C3,Evening (3-5pm),"SRG, SUC",15:39,15:49,Sunny,Dry,Calm,,https://ebird.org/checklist/S154253955,,missing data?,,,
208,11/11/2023,C4,Evening (3-5pm),"SRG, SUC",15:53,16:03,Sunny,Dry,Calm,,https://ebird.org/checklist/S154254684,,missing data?,,,
209,11/11/2023,C5,Evening (3-5pm),"SRG, SUC",16:06,16:16,Sunny,Dry,Calm,67,https://ebird.org/checklist/S154255365,Much anthropogenic noise,-,,,
210,11/11/2023,C6,Evening (3-5pm),"SRG, SUC",16:25,16:35,Sunny,Dry,Calm,66,https://ebird.org/checklist/S154256408,,-,,,
211,11/15/2023,B1,Morning (7-9am),SRG,7:52,8:02,Cloudy,Dry,Calm,55,https://ebird.org/checklist/S154501996,,-,,,
212,11/15/2023,B2,Morning (7-9am),SRG,8:05,8:15,Cloudy,Dry,Calm,55,https://ebird.org/checklist/S154502815,,-,,,
213,11/15/2023,B3,Morning (7-9am),SRG,8:18,8:28,Cloudy,Dry,Calm,56,https://ebird.org/checklist/S154503662,,-,,,[
214,11/15/2023,B4,Morning (7-9am),SRG,8:30,8:40,Cloudy,Dry,Calm,57,https://ebird.org/checklist/S154504441,,-,,,
215,11/15/2023,B5,Morning (7-9am),SRG,8:43,8:53,Cloudy,Dry,Calm,57,https://ebird.org/checklist/S154505410,,-,,,
216,11/15/2023,B6,Morning (7-9am),SRG,8:54,9:04,Cloudy,Dry,Calm,58,https://ebird.org/checklist/S154506210,Vegetation around the stream has been cut.,-,,,
217,11/15/2023,A1,Mid-day (11am-1pm),LSW,11:02,11:12,Cloudy,Dry,Slight Wind,60,https://ebird.org/checklist/S154514313,,-,,,
218,11/15/2023,A2,Mid-day (11am-1pm),LSW,11:15,11:25,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154515156,,-,,,
219,11/15/2023,A3,Mid-day (11am-1pm),LSW,11:32,11:42,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154516369,loud construction,-,,,
220,11/15/2023,A4,Mid-day (11am-1pm),LSW,11:44,11:54,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154517043,,-,,,
221,11/15/2023,A5,Mid-day (11am-1pm),LSW,11:56,12:06,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S154517704,,-,,,
222,11/15/2023,A6,Mid-day (11am-1pm),LSW,12:09,12:19,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154518709,,-,,,
223,11/15/2023,A1,Evening (3-5pm),JOL,15:02,15:12,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154529187,,-,,,
224,11/15/2023,A2,Evening (3-5pm),JOL,15:15,15:25,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154529637,,-,,,
225,11/15/2023,A3,Evening (3-5pm),JOL,15:27,15:37,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154530240,,-,,,
226,11/15/2023,A4,Evening (3-5pm),JOL,15:40,15:50,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154530766,,-,,,
227,11/15/2023,A5,Evening (3-5pm),JOL,15:53,16:03,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154531223,,-,,,
228,11/15/2023,A6,Evening (3-5pm),JOL,16:04,16:14,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154531658,,-,,,
229,11/18/2023,C1,Morning (7-9am),JOL,9:12,9:22,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154692537,,-,,,
230,11/18/2023,C2,Morning (7-9am),JOL,9:00,9:10,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154691471,,-,,,
231,11/18/2023,C3,Morning (7-9am),JOL,8:46,8:56,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154690191,,-,,,
232,11/18/2023,C4,Morning (7-9am),JOL,8:33,8:44,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154689052,,-,,,
233,11/18/2023,C5,Morning (7-9am),JOL,8:21,8:31,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154687952,,-,,,
234,11/18/2023,C6,Morning (7-9am),JOL,8:07,8:17,Cloudy,Drizzle,Slight Wind,58,https://ebird.org/checklist/S154686684,,-,,,
235,11/19/2023,A1,Morning (7-9am),SRG,7:42,7:52,Sunny,Dry,Calm,47,https://ebird.org/checklist/S154765847,,-,,,
236,11/19/2023,A2,Morning (7-9am),SRG,7:55,8:05,Sunny,Dry,Calm,49,https://ebird.org/checklist/S154767186,,-,,,
237,11/19/2023,A3,Morning (7-9am),SRG,8:12,8:22,Sunny,Dry,Calm,50,https://ebird.org/checklist/S154768940,,-,,,
238,11/19/2023,A4,Morning (7-9am),SRG,8:24,8:34,Sunny,Dry,Calm,50,https://ebird.org/checklist/S154770157,Speaker playing loud music,-,,,
239,11/19/2023,A5,Morning (7-9am),SRG,8:37,8:47,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154771408,Speaker playing loud music,-,,,
240,11/19/2023,A6,Morning (7-9am),SRG,8:49,8:59,Sunny,Dry,Calm,51,https://ebird.org/checklist/S154772547,,-,,,
241,11/19/2023,C6,Mid-day (11am-1pm),SRG,11:10,11:20,Sunny,Dry,Windy,56,https://ebird.org/checklist/S154787090,,-,,,
242,11/19/2023,C5,Mid-day (11am-1pm),SRG,11:25,11:35,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154788346,Machinery operating,-,,,
243,11/19/2023,C4,Mid-day (11am-1pm),SRG,11:37,11:47,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154789380,,-,,,
244,11/19/2023,C3,Mid-day (11am-1pm),SRG,11:51,12:01,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154790662,,-,,,
245,11/19/2023,C2,Mid-day (11am-1pm),SRG,12:04,12:14,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154791772,,-,,,
246,11/19/2023,C1,Mid-day (11am-1pm),SRG,12:16,12:26,Sunny,Dry,Slight Wind,57,https://ebird.org/checklist/S154792755,,-,,,
247,11/19/2023,C1,Evening (3-5pm),LSW,15:05,15:15,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154810816,,-,,,
248,11/19/2023,C2,Evening (3-5pm),LSW,15:17,15:27,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154811560,,-,,,
249,11/19/2023,C3,Evening (3-5pm),LSW,15:32,15:42,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154812509,,-,,,
250,11/19/2023,C4,Evening (3-5pm),LSW,15:45,15:55,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154813716,,-,,,
251,11/19/2023,C5,Evening (3-5pm),LSW,15:59,16:09,Sunny,Dry,Slight Wind,60,https://ebird.org/checklist/S154814384,"actual PC location obstructed by loud construction, stood outside Durham Studio Theater",-,,,
252,11/19/2023,C6,Evening (3-5pm),LSW,16:19,16:29,Sunny,Dry,Calm,59,https://ebird.org/checklist/S154815547,"path between C5 and C6 obstructed, walked further down to the west side of VLSB and back up",-,,,
253,11/21/2023,B1,Morning (7-9am),SRG,8:03,8:13,Cloudy,Dry,Calm,50,https://ebird.org/checklist/S154909587,,-,,,
254,11/21/2023,B2,Morning (7-9am),SRG,8:15,8:25,Cloudy,Dry,Calm,51,https://ebird.org/checklist/S154910295,,-,,,
255,11/21/2023,B3,Morning (7-9am),SRG,8:28,8:38,Cloudy,Dry,Calm,53,https://ebird.org/checklist/S154911004,construction,-,,,
256,11/21/2023,B4,Morning (7-9am),SRG,8:40,8:50,Cloudy,Dry,Calm,53,https://ebird.org/checklist/S154911752,construction,-,,,
257,11/21/2023,B5,Morning (7-9am),SRG,8:53,9:03,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S154912618,,-,,,
258,11/21/2023,B6,Morning (7-9am),SRG,9:05,9:15,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S154913352,,-,,,
259,11/21/2023,B1,Mid-day (11am-1pm),LSW,11:02,11:12,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154920229,,-,,,
260,11/21/2023,B2,Mid-day (11am-1pm),LSW,11:17,11:27,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154922672,loud landscaping/jackhammering,-,,,
261,11/21/2023,B3,Mid-day (11am-1pm),LSW,11:30,11:40,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154925021,loud landscaping/jackhammering,-,,,
262,11/21/2023,B4,Mid-day (11am-1pm),LSW,11:42,11:52,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S154926896,"loud construction, PC point blocked so I stood by Strawberry Creek as close as possible",-,,,
263,11/21/2023,B5,Mid-day (11am-1pm),LSW,11:57,12:07,Cloudy,Dry,Calm,63,https://ebird.org/checklist/S154927677,,-,,,
264,11/21/2023,B6,Mid-day (11am-1pm),LSW,12:09,12:19,Cloudy,Dry,Calm,64,https://ebird.org/checklist/S154928403,,-,,,
265,11/21/2023,A1,Evening (3-5pm),SRG,16:04,16:14,Cloudy,Dry,Calm,62,https://ebird.org/checklist/S154940403,,-,,,
266,11/21/2023,A2,Evening (3-5pm),SRG,16:18,16:28,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154940867,,-,,,
267,11/21/2023,A3,Evening (3-5pm),SRG,16:34,16:44,Cloudy,Dry,Calm,61,https://ebird.org/checklist/S154941558,,-,,,
268,11/21/2023,A4,Evening (3-5pm),SRG,16:46,16:56,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154942010,,-,,,
269,11/21/2023,A5,Evening (3-5pm),SRG,16:59,17:09,Cloudy,Dry,Calm,60,https://ebird.org/checklist/S154942434,Got too dark to do A6,-,,,
270,12/3/2023,C1,Morning (7-9am),LSW,7:31,7:41,Cloudy,Drizzle,Calm,53,https://ebird.org/checklist/S155663845,,-,,,
271,12/3/2023,C2,Morning (7-9am),LSW,7:43,7:53,Cloudy,Drizzle,Calm,54,https://ebird.org/checklist/S155664717,,-,,,
272,12/3/2023,C3,Morning (7-9am),LSW,7:57,8:07,Cloudy,Drizzle,Calm,54,https://ebird.org/checklist/S155665867,,-,,,
273,12/3/2023,C4,Morning (7-9am),LSW,8:10,8:20,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155666933,,-,,,
274,12/3/2023,C5,Morning (7-9am),LSW,8:24,8:34,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155668065,"C5 point blocked, stood by LOOP bench around southeast corner of VLSB",-,,,
275,12/3/2023,C6,Morning (7-9am),LSW,8:36,8:46,Cloudy,Dry,Calm,54,https://ebird.org/checklist/S155669229,,-,,,
276,12/3/2023,C1,Mid-day (11am-1pm),SRG,11:33,11:43,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155683199,,-,,,
277,12/3/2023,C2,Mid-day (11am-1pm),SRG,11:44,11:54,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155684030,,-,,,
278,12/3/2023,C3,Mid-day (11am-1pm),SRG,11:56,12:06,Cloudy,Dry,Slight Wind,59,https://ebird.org/checklist/S155685022,,-,,,
279,12/3/2023,C4,Mid-day (11am-1pm),SRG,12:08,12:18,Cloudy,Dry,Slight Wind,60,https://ebird.org/checklist/S155686193,A lot of people.,-,,,
280,12/3/2023,C5,Mid-day (11am-1pm),SRG,12:22,12:32,Cloudy,Dry,Slight Wind,60,https://ebird.org/checklist/S155687013,,-,,,
281,12/3/2023,C6,Mid-day (11am-1pm),SRG,12:39,12:49,Cloudy,Dry,Slight Wind,61,https://ebird.org/checklist/S155688501,,-,,,
282,12/3/2023,B6,Evening (3-5pm),SRG,14:50,15:00,Partial Cloudy,Dry,Calm,61,https://ebird.org/checklist/S155697917,,-,,,
283,12/3/2023,B5,Evening (3-5pm),SRG,15:03,15:13,Partial Cloudy,Dry,Calm,61,https://ebird.org/checklist/S155698654,,-,,,
284,12/3/2023,B4,Evening (3-5pm),SRG,15:15,15:25,Partial Cloudy,Dry,Calm,60,https://ebird.org/checklist/S155699384,,-,,,
285,12/3/2023,B3,Evening (3-5pm),SRG,15:28,15:38,Partial Cloudy,Dry,Calm,59,https://ebird.org/checklist/S155700027,,-,,,
286,12/3/2023,B2,Evening (3-5pm),SRG,15:40,15:50,Partial Cloudy,Dry,Calm,59,https://ebird.org/checklist/S155700662,,-,,,
287,12/3/2023,B1,Evening (3-5pm),SRG,15:52,16:02,Partial Cloudy,Dry,Calm,59,https://ebird.org/checklist/S155701327,,-,,,
288,12/8/2023,A6,Morning (7-9am),JOL,8:16,8:26,Sunny,Dry,Slight Wind,46,https://ebird.org/checklist/S155950307,,-,,,
289,12/8/2023,A5,Morning (7-9am),JOL,8:27,8:37,Sunny,Dry,Slight Wind,46,https://ebird.org/checklist/S155951149,,-,,,
290,12/8/2023,A4,Morning (7-9am),JOL,8:39,8:49,Sunny,Dry,Slight Wind,46,https://ebird.org/checklist/S155951932,,-,,,
291,12/8/2023,A3,Morning (7-9am),JOL,8:50,9:00,Sunny,Dry,Slight Wind,46,https://ebird.org/checklist/S155952768,,-,,,
292,12/8/2023,A2,Morning (7-9am),JOL,9:04,9:14,Sunny,Dry,Slight Wind,46,-,,-,,,
293,12/8/2023,B1,Mid-day (11am-1pm),SRG,11:18,11:28,Sunny,Dry,Slight Wind,51,https://ebird.org/checklist/S155961902,,-,,,
294,12/8/2023,B2,Mid-day (11am-1pm),SRG,11:34,11:44,Sunny,Dry,Slight Wind,52,https://ebird.org/checklist/S155962902,,-,,,
295,12/8/2023,B3,Mid-day (11am-1pm),SRG,11:44,11:54,Sunny,Dry,Slight Wind,52,https://ebird.org/checklist/S155963838,,-,,,
296,12/8/2023,B4,Mid-day (11am-1pm),SRG,11:57,12:07,Sunny,Dry,Slight Wind,53,https://ebird.org/checklist/S155964734,,-,,,
297,12/8/2023,B5,Mid-day (11am-1pm),SRG,12:10,12:20,Sunny,Dry,Slight Wind,53,https://ebird.org/checklist/S155965409,,-,,,
298,12/8/2023,B6,Mid-day (11am-1pm),SRG,12:21,12:31,Sunny,Dry,Slight Wind,54,https://ebird.org/checklist/S155966036,,-,,,
299,12/8/2023,C6,Evening (3-5pm),SRG,15:09,15:19,Sunny,Dry,Slight Wind,56,https://ebird.org/checklist/S155975951,,-,,,
300,12/8/2023,C5,Evening (3-5pm),SRG,15:23,15:33,Sunny,Dry,Slight Wind,56,https://ebird.org/checklist/S155976513,,-,,,
301,12/8/2023,C4,Evening (3-5pm),SRG,15:36,15:46,Sunny,Dry,Slight Wind,56,https://ebird.org/checklist/S155977127,,-,,,
302,12/8/2023,C3,Evening (3-5pm),SRG,15:48,15:58,Sunny,Dry,Slight Wind,56,https://ebird.org/checklist/S155977744,,-,,,
303,12/8/2023,C2,Evening (3-5pm),SRG,16:02,16:12,Sunny,Dry,Slight Wind,55,https://ebird.org/checklist/S155978249,,-,,,
304,12/8/2023,C1,Evening (3-5pm),SRG,16:13,16:23,Sunny,Dry,Slight Wind,55,https://ebird.org/checklist/S155978694,,-,,,
305,12/10/2023,B1,Morning (7-9am),LSW,7:30,7:40,Sunny,Dry,Calm,42,https://ebird.org/checklist/S156078491,,-,,,
306,12/10/2023,B2,Morning (7-9am),LSW,7:43,7:53,Sunny,Dry,Calm,44,https://ebird.org/checklist/S156079534,,-,,,
307,12/10/2023,B3,Morning (7-9am),LSW,7:59,8:09,Sunny,Dry,Calm,44,https://ebird.org/checklist/S156080785,,-,,,
308,12/10/2023,B4,Morning (7-9am),LSW,8:11,8:21,Sunny,Dry,Calm,44,https://ebird.org/checklist/S156081834,"B4 PC location blocked, stood at north side of Strawberry Creek beside the bridge",-,,,
309,12/10/2023,B5,Morning (7-9am),LSW,8:25,8:35,Sunny,Dry,Calm,45,https://ebird.org/checklist/S156082946,,-,,,
310,12/10/2023,B6,Morning (7-9am),LSW,8:37,8:47,Sunny,Dry,Calm,45,https://ebird.org/checklist/S156083821,,-,,,
311,12/10/2023,A1,Mid-day (11am-1pm),SRG,11:27,11:37,Partial Cloudy,Dry,Slight Wind,56,https://ebird.org/checklist/S156096644,,-,,,
312,12/10/2023,A2,Mid-day (11am-1pm),SRG,11:41,11:51,Partial Cloudy,Dry,Slight Wind,56,https://ebird.org/checklist/S156097543,,-,,,
313,12/10/2023,A3,Mid-day (11am-1pm),SRG,11:57,12:07,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156098654,,-,,,
314,12/10/2023,A4,Mid-day (11am-1pm),SRG,12:11,12:21,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156099431,,-,,,
315,12/10/2023,A5,Mid-day (11am-1pm),SRG,12:23,12:33,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156100182,,-,,,
316,12/10/2023,A6,Mid-day (11am-1pm),SRG,12:35,12:45,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156100970,,-,,,
317,12/10/2023,C6,Evening (3-5pm),SRG,15:18,15:28,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156111050,,-,,,
318,12/10/2023,C5,Evening (3-5pm),SRG,15:32,15:42,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156111723,,-,,,
319,12/10/2023,C4,Evening (3-5pm),SRG,15:45,15:55,Partial Cloudy,Dry,Slight Wind,57,https://ebird.org/checklist/S156112436,,-,,,
320,12/10/2023,C3,Evening (3-5pm),SRG,15:57,16:07,Partial Cloudy,Dry,Slight Wind,56,https://ebird.org/checklist/S156113131,,-,,,
321,12/10/2023,C2,Evening (3-5pm),SRG,16:09,16:19,Partial Cloudy,Dry,Slight Wind,56,https://ebird.org/checklist/S156113739,,-,,,
322,12/10/2023,C1,Evening (3-5pm),SRG,16:20,16:30,Partial Cloudy,Dry,Slight Wind,56,https://ebird.org/checklist/S156114252,,-,,,
323,12/12/2023,C1,Morning (7-9am),KEC,8:27,8:37,Cloudy,Dry,Calm,51,https://ebird.org/checklist/S156197091,construction,-,,,
324,12/12/2023,C2,Morning (7-9am),KEC,8:42,8:52,Cloudy,Dry,Calm,51,https://ebird.org/checklist/S156197978,construction,-,,,
325,12/12/2023,C3,Morning (7-9am),KEC,8:57,9:07,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S156198837,,-,,,
326,12/12/2023,C4,Morning (7-9am),KEC,9:12,9:22,Partial Cloudy,Dry,Calm,51,https://ebird.org/checklist/S156199676,,-,,,
327,12/12/2023,C5,Morning (7-9am),KEC,9:29,9:39,Partial Cloudy,Dry,Calm,52,https://ebird.org/checklist/S156200546,construction,-,,,
328,12/12/2023,C6,Morning (7-9am),KEC,9:53,10:03,Partial Cloudy,Dry,Slight Wind,53,https://ebird.org/checklist/S156201882,,-,,,
329,12/12/2023,A6,Mid-day (11am-1pm),SRG,11:44,11:54,Sunny,Dry,Calm,56,https://ebird.org/checklist/S156208963,,-,,,
330,12/12/2023,A5,Mid-day (11am-1pm),SRG,11:56,12:06,Sunny,Dry,Calm,56,https://ebird.org/checklist/S156209603,Whirring from Weil Hall,-,,,
331,12/12/2023,A4,Mid-day (11am-1pm),SRG,12:08,12:18,Sunny,Dry,Calm,56,https://ebird.org/checklist/S156210235,,-,,,
332,12/12/2023,A3,Mid-day (11am-1pm),SRG,12:20,12:30,Sunny,Dry,Calm,57,https://ebird.org/checklist/S156210798,construction,-,,,
333,12/12/2023,A2,Mid-day (11am-1pm),SRG,12:35,12:45,Sunny,Dry,Calm,58,https://ebird.org/checklist/S156211618,,-,,,
334,12/12/2023,A1,Mid-day (11am-1pm),SRG,12:48,12:58,Sunny,Dry,Calm,58,https://ebird.org/checklist/S156212227,,-,,,
335,12/12/2023,B1,Evening (3-5pm),SUC,15:52,16:02,Sunny,Dry,Calm,61,https://ebird.org/checklist/S171208231,,-,,,
336,12/12/2023,B2,Evening (3-5pm),SUC,16:04,16:14,Sunny,Dry,Calm,59,https://ebird.org/checklist/S171246553,,-,,,
337,12/12/2023,B3,Evening (3-5pm),SUC,16:15,16:25,Sunny,Dry,Calm,57,https://ebird.org/checklist/S171351104,construction so hard to hear,-,,,
338,12/12/2023,B4,Evening (3-5pm),SUC,16:27,16:37,Sunny,Dry,,57,https://ebird.org/checklist/S171352491,,missing data?,,,
339,12/12/2023,B5,Evening (3-5pm),SUC,16:38,16:48,Sunny,Dry,Calm,57,https://ebird.org/checklist/S171353722,glare so couldn't ID birds f[illegible],-,,,
340,12/12/2023,B6,Evening (3-5pm),SUC,16:49,16:59,Sunny,Dry,Calm,57,https://ebird.org/checklist/S171355162,,-,,,
341,12/13/2023,C1,Morning (7-9am),SRG,7:47,7:57,Sunny,Dry,Calm,46,https://ebird.org/checklist/S156244942,construction,-,,,
342,12/13/2023,C2,Morning (7-9am),SRG,7:58,8:08,Sunny,Dry,Calm,46,https://ebird.org/checklist/S156245602,,-,,,
343,12/13/2023,C3,Morning (7-9am),SRG,8:11,8:21,Sunny,Dry,Calm,46,https://ebird.org/checklist/S156246373,,-,,,
344,12/13/2023,C4,Morning (7-9am),SRG,8:23,8:33,Sunny,Dry,Calm,47,https://ebird.org/checklist/S156247106,,-,,,
345,12/13/2023,C5,Morning (7-9am),SRG,8:35,8:45,Sunny,Dry,Calm,47,https://ebird.org/checklist/S156247828,,-,,,
346,12/13/2023,C6,Morning (7-9am),SRG,8:49,8:59,Sunny,Dry,Calm,49,https://ebird.org/checklist/S156248708,,-,,,
347,12/13/2023,A6,Mid-day (11am-1pm),SRG,11:08,11:18,Sunny,Dry,Calm,55,https://ebird.org/checklist/S156256286,,-,,,
348,12/13/2023,A5,Mid-day (11am-1pm),SRG,11:20,11:30,Sunny,Dry,Calm,56,https://ebird.org/checklist/S156256846,,-,,,
349,12/13/2023,A4,Mid-day (11am-1pm),SRG,11:32,11:42,Sunny,Dry,Calm,57,https://ebird.org/checklist/S156257459,,-,,,
350,12/13/2023,A3,Mid-day (11am-1pm),SRG,11:44,11:54,Sunny,Dry,Calm,57,https://ebird.org/checklist/S156258104,construction,-,,,
351,12/13/2023,A2,Mid-day (11am-1pm),SRG,12:00,12:10,Sunny,Dry,Calm,59,https://ebird.org/checklist/S156259780,,-,,,
352,12/13/2023,A1,Mid-day (11am-1pm),SRG,12:13,12:23,Sunny,Dry,Calm,59,https://ebird.org/checklist/S156260451,,-,,,
